TYPE,NAME,ADDRESS,COMM_CODE
Separate School,Sacred Heart Elementary,1312 15 ST SW,SNA
Community Centre,Saddle Ridge Community Centre,7614 42 ST NE,SRI
Separate School,Sainte Marguerite Bourgeoys,4700 Richard RD SW,LPK
Public School,Sam Livingston Elementary,12011 Bonaventure DR SE,LKB
Attraction,Sam Livingston Fish Hatchery,1440 17A ST SE,ING
Public School,Samuel W. Shaw,115 Shannon DR SW,SHN
Community Centre,Scarboro Community Centre,1727 14 AV SW,SNA
Community Centre,Scenic Acres Community Centre,8825 Scurfield DR NW,SCE
Public School,Scenic Acres School,50 Scurfield WY NW,SCE
Public School,Science School at Langevin School,107 6A ST NE,BRD
Public School,Senator P. Burns Jr High,2155 Chilcotin RD NW,CHW
Community Centre,Shaganappi Community Centre,2608 14 AV SW,SHG
PHS Clinic,Shaganappi Complex Health Centre,3415 - 8 AV SW,SPR
Library,Shaganappi Library,3415 8 AV SW,SPR
Attraction,Shaw Millenium Park,1220 9 AV SW,DNW
Community Centre,Shawnessy Community Centre,224 Shawmeadows RD SW,SHN
Library,Shawnessy Library,333 SHAWVILLE BV SE,SHN
PHS Clinic,Sheldon M. Chumir Health Centre,1213 - 4 ST SW,BLN
Public School,Sherwood Community,2011 66 AV SE,OGD
Library,Signal Hill Library,5994 SIGNAL HILL CT SW,SIG
Community Centre,Silver Springs Community Centre,5720 Silver Ridge DR NW,SIL
Public School,Silver Springs Elementary,7235 Silvermead RD NW,SIL
Public School,Simon Fraser Jr High,5215 33 ST NW,BRE
Public School,Simons Valley Elementary,375 Sandarac DR NW,SAN
Public School,Sir James Lougheed Elementary,3519 36 AV SW,RUT
Public School,Sir John A. Macdonald Jr High,6600 4 ST NW,HUN
Public School,Sir John Franklin Jr High,2215 8 AV NE,MAL
Public School,Sir Wilfrid Laurier Jr High,819 32 ST SE,ALB
Public School,Sir William Van Horne Sr High,2215 Uxbridge DR NW,UNI
Public School,Sir Winston Churchill Sr High,5220 Northland DR NW,BRE
Public School,Somerset School,150 Somerset MR SW,SOM
Social Dev Ctr,South Area,502 Heritage DR SW,KIN
Community Centre,South Calgary Community Centre,3130 16 ST SW,SOC
PHS Clinic,South Calgary Health Centre,31 Sunpark Plaza SE,SDC
Post Secondary,Southern Alberta Institute of Technology,1301 16 AV NW,HIL
Attraction,Southern Alberta Jubilee Auditorium,1415 14 AV NW,HIL
Community Centre,Southview Community Centre,2020 33 ST SE,SOV
Community Centre,Southwood Community Centre,11 Sackville DR SW,SOW
Library,Southwood Library,924 SOUTHLAND DR SW,SOW
Attraction,Space Port (Calgary Airport),2000 Airport RD NE,CIA
Community Centre,Spruce Cliffe Community Centre,608 Poplar RD SW,SPR
Attraction,Spruce Meadows Equestrian Centre,18011 Spruce Meadows WY SW,13I
Separate School,St. Albert the Great,225 Prestwick AV SE,MCT
Separate School,St. Alphonsus Elementary & Jr High,928 Radnor AV NE,REN
Separate School,St. Ambrose Elementary & Jr High,1500 Arbour Lake RD NW,ARB
Separate School,St. Andrew Elementary,4331 41 AV SW,GLA
Community Centre,St. Andrews Heights Community Centre,2504 13 AV NW,STA
Separate School,St. Angela Elementary,231 6 ST NE,BRD
Separate School,St. Anne Sr High,1010 21 AV SE,RAM
Separate School,St. Anthony Congregated,4811 6th ST SW,EYA
Separate School,St. Augustine Elementary & Jr High,7112 7 ST SW,KIN
Separate School,St. Basil,919 Tuscany Dr NW,TUS
Separate School,St. Bede Elementary,333 Bermuda DR NW,BED
Separate School,St. Benedict Elementary,10340 19 ST SW,PUM
Separate School,St. Bernadette Elementary,55 Lynndale CR SE,OGD
Separate School,St. Bonaventure Jr High,1710 Acadia DR SE,LKB
Separate School,St. Boniface Elementary,927 Lake Sylvan DR SE,LKB
Separate School,St. Brigid Elementary & Jr High,730 Citadel WY NW,CIT
Separate School,St. Catherine Elementary,11 Canata CL SW,CAN
Separate School,St. Cecilia Elementary,610 Agate CR SE,ACA
Separate School,St. Clare Elementary,12455 Coventry Hills WY NE,COV
Separate School,St. Cyril Elementary & Jr High,2990 Cedarbrae DR SW,CED
Separate School,St. Dominic Elementary,4820 Dalhart RD NW,DAL
Separate School,St. Elizabeth Seton Elementary & Jr High,10845 Hidden Valley DR,HID
Separate School,St. Francis High School,877 Northmount DR NW,COL
Separate School,St. Gerard Elementary,1204 96 AV SW,HAY
Separate School,St. Gregory Elementary & Jr High,5340 26 AV SW,GDL
Separate School,St. Helena Elementary,320 64 AV NW,HUN
Separate School,St. Henry Elementary,7423 10 ST NW,HUN
Separate School,St. Hubert Elementary,320 72 AV NE,HUN
Separate School,St. James Elementary Jr High,2227 58 AV SW,NGM
Separate School,St. Jean Brebeuf Jr High,5030 Northland DR NW,BRE
Community Centre,Monterey Park Community Centre,2707 Catalina BV NE,MOR
Public School,Monterey Park Elementary,7600 California BV NE,MOR
Private School,Montessori School of Calgary,2201 Cliff ST SW,CLI
Community Centre,Montgomery Community Centre,5003 - 16 AV NW,MON
Public School,Montgomery Jr High,2116 McKay RD NW,MON
Separate School,Mother Mary Greene Elementary,115 Edenwold DR NW,EDG
Separate School,Mother Teresa Elementary,121 Midlake BV SE,MID
Community Centre,Mount Pleasant Community Centre,,MOP
Community Centre,Mount Royal Community Centre,2317 10 ST SW,UMR
Public School,Mount Royal Jr High,2234 14 ST SW,UMR
Post Secondary,Mount Royal University - City Centre Campus,833 4 AV SW,DNC
Post Secondary,Mount Royal University - Holy Cross Campus,2204 2ST SW,MIS
Post Secondary,Mount Royal University - Lincoln Park Campus,4825 Richard RD SW,LPK
Public School,Mount View Elementary,2004 4 ST NE,WIN
Public School,Mountain Park School,312 Mt. Douglas Cl SE,MCK
Private School,Mountain View Academy,"B4, 2452 Battleford AV SW",CFC
Attraction,Museum of the Regiments,4520 Crowchild TR SW,ALT
Public School,National Sport Sr High,3600 16 AV SW,RCK
Attraction,Naval Museum of Alberta,1820 24 ST SW,RIC
Public School,Nellie McClung Elementary,2315 Palliser DR SW,PAL
Private School,New Heights Early Lerning Services,1323 McKnight BV NE,MCI
Attraction,Nickle Arts Museum (University of Calgary),434 Collegiate BV NW,UOC
Public School,Nickle Jr High,2500 Lake Bonavista DR SE,LKB
Social Dev Ctr,North Area,905 30 AV NW,MOP
Community Centre,North Glenmore Park Community Centre,2231 Longridge DR SW,NGM
Community Centre,North Haven Community Centre,5003 North Haven DR NW,NHV
Public School,North Haven Elementary,4922 North Haven DR NW,NHV
PHS Clinic,Northwest Community Health Centre,109 1829 Ranchlands BV NW,RAN
Library,Nose Hill Library,1530 NORTHMOUNT DR NW,BRE
Separate School,Notre Dame,11900 Country Village LI NE,CHV
Separate School,Notre-Dame-de-la-Paix,809 Willingdon BV SE,WIL
Public School,O. S. Geiger Elementary,100 Castlebrook DR NE,CAS
Community Centre,Oakridge Community Centre,9504 Oakfield DR SW,OAK
Attraction,Olympic Hall of Fame & Museum (COP),88 Canada Olympic RD SW,COP
Public School,Olympic Heights Elementary,875 Strathcona DR SW,STR
Attraction,Olympic Oval - University of Calgary,184 University Gate NW,UOC
Attraction,Olympic Plaza,241 7 AV SE,DNC
Separate School,Our Lady of Fatima Elementary,6320 Taralea PA NE,TAR
Separate School,Our Lady of Lourdes Elementary & Jr. High,1916 2 ST SW,MIS
Separate School,Our Lady of Peace Elementary & Jr High,14826 Millrise Hill SW,MLR
Separate School,Our Lady of the Assumption Elementary & Jr High,7311 34 AV NW,BOW
Community Centre,"Palliser, Bayview, Pumphill Community Centre",2323 Palliser DR SW,PAL
Public School,Panorama Hills School,1057 Panorama Hills DR NW,PAN
Community Centre,Parkdale Community Centre,3512 5 AV NW,PKD
Community Centre,Parkhill/Stanley Park Community Centre,4013 Stanley RD SW,PKH
Community Centre,Parkland Community Centre,505 Parkvalley RD SE,PKL
Public School,Patrick Airlie Elementary,1520 39 ST SE,FLN
Attraction,Pearce Estate Park Interpretive Wetland,1440 17A ST SE,ING
Community Centre,Penbrooke Meadows Community Centre,6100 8 AV SE,PEN
Public School,Penbrooke Meadows Elementary,5645 Pensacola CR SE,PEN
Hospital,Peter Lougheed Medical Centre,3500 - 26 AV NE,SUN
Private School,Phoenix Foundation,"Bay 1, 2821 3 AV NE",MER
Public School,Piitoayis Family School,1921 9AV SE,ING
Public School,Pineridge Community,1927 61 ST NE,PIN
Community Centre,Pineridge Community Centre,6024 Rundlehorn DR NE,PIN
Public School,Prince of Wales School,253 Parkand WY SE,PKL
Public School,Queen Elizabeth Elementary,402 18 ST NW,HIL
Public School,Queen Elizabeth Jr & Sr High,512 18 ST NW,HIL
Community Centre,Queensland / Diamond Cove Community Centre,649 Queensland DR SE,QLD
Public School,Queensland Downs Elementary,199 Queen Charlotte WY SE,QLD
Public School,R. T. Alderman Jr High,725 Mapleton DR SE,MPL
Attraction,Race City Motorsport Park,114 AV & 68 ST SE,ESH
Public School,Radisson Park School,2805 Redcliffe DR SE,ALB
Community Centre,Ramsay Community Centre,1136 8 ST SE,RAM
Public School,Ramsay Elementary,2223 Spiller RD SE,RAM
Community Centre,Ranchlands Community Centre,7713 Ranchview DR NW,RAN
Public School,Ranchlands Elementary,610 Ranchlands BV NW,RAN
Attraction,Red Arrow Bus Terminal,205 9 AV SE,DNC
Post Secondary,Renert Centre,192 MacEwan Student Centre U of C ,UOC
Community Centre,Renfrew Community Association,811 Radford RD NE,REN
Private School,Renfrew Educational Services - Bowness Centre,8604 48 AVE NW,BOW
Private School,Renfrew Educational Services - Child Development Centr,3820 24 AV NW,UOC
Private School,Renfrew Educational Services - Main School & Admin,2050 21 ST NE,SAW
Private School,Renfrew Educational Services - Park Place Centre,3688 48 AV NE,CIA
Private School,Renfrew Educational Services - Special Services Centre,8620 48 AV NW,BOW
Private School,Renfrew Educational Services - Sundance Centre,75 Sunpark DR SE,SDC
Public School,Richmond Elementary,2701 22 ST SW,RIC
Community Centre,Richmond/Knob Hill Community Centre,2433 26 AV SW,RIC
Public School,Rideau Park Elementary & Jr High,829 Rideau RD SW,RID
Private School,River Valley School,3127 Bowwood DR NW,BOW
Community Centre,Riverbend Community Centre,19 Rivervalley DR SE,RIV
Separate School,St. Thomas More Elementary,6110 Temple DR NE,TEM
Separate School,St. Vincent De Paul Elementary & Jr High,4525 49 ST NW,VAR
Separate School,St. Wilfrid Elementary,4225 44 AV NE,WHI
Separate School,St. William Elementary,11020 Fairmount DR SE,WIL
Attraction,Stampede Park Race Track,2300 Stampede TR SE,BLN
Public School,Stanley Jones Elementary,950 6 ST NE,REN
Community Centre,Strathcona/Christie Park Community Centre,277 Strathcona DR SW,STR
Community Centre,Sunalta Community Centre,1627 10 AV SW,SNA
Public School,Sunalta Elementary,536 Sonora AV SW,SCA
Public School,Sundance Elementary,200 Sunmills DR SE,SDC
Public School,Sunnyside Elementary,211 7 ST NW,SSD
Private School,Swedish Language School,739 20 AV NW,MOP
Private School,Tanbridge Academy,510 77 AV SE,FVI
Public School,Taradale School,170 Taravista DR NE,TAR
Attraction,Telus Convention Centre,120 9 AV SE,DNC
Community Centre,Temple Community Centre,167 Templegreen RD NE,TEM
Public School,Terrace Road Elementary,2103 46 ST NW,MON
Public School,Terry Fox Jr High,139 Falshire DR NE,FAL
Private School,The Chinese Academy,6620 4 ST NW,HUN
Public School,The Hamptons School,10330 Hamptons BV NW,HAM
Private School,The Skill Factory - Satellite Site,6331 Bowness RD NW,BOW
Private School,The Third Academy,"B4, 2452 Battleford AV SW",CFC
Private School,The Timothy Centre for Scholarship,7740 18 ST SE,OGD
Private School,Third Academy Calgary South,Box 4 Site 22 RR8,
Public School,Thomas B Riley Jr High,3915 69 ST NW,BOW
Public School,Thorncliffe Elementary,5646 Thornton RD NW,THO
Community Centre,Thorncliffe/Greenview Community Centre,5600 Centre ST NE,THO
Social Dev Ctr,Thornhill,6617 Centre ST NW,HUN
PHS Clinic,Thornhill Community Health Centre,6617 Centre ST NW,HUN
Library,Thornhill Library,6617 CENTRE ST N,HUN
Public School,Tom Baines Jr High,250 Edgepark BV NW,EDG
Visitor Info,Tourism Calgary Airport,2000 Airport RD NE,CIA
Visitor Info,Tourism Calgary Central,200 238 11 AV SW,BLN
Visitor Info,Tourism Calgary Eau Claire,200 Barclay Parade SW,EAU
Visitor Info,Tourism Calgary Stephens Avenue,220 8 AV SW,DNC
Attraction,Trans Canada Trail Pavillion,Bow River Pathway at 2 ST SW,ABB
Attraction,Triangle Art Gallery,#104 800 Macleod TR SE,DNC
Private School,Trinity Christian School,#100 295 Midpark WY SE,MID
Community Centre,Triwood Community Centre,2244 Chicoutimi DR NW,CHW
Attraction,Truck Gallery,815 1 ST SW,DNC
Attraction,Tsuu T'ina Culture Museum,3700 Anderson RD SW,CED
Community Centre,Tuscany Community Centre,212 Tuscany Way NW,TUS
Public School,Tuscany School,990 Tuscany DR NW,TUS
Community Centre,Tuxedo Park Community Centre,202 29 AV NE,TUX
Private School,Tyndale Christian School,18 Hart Estates BV NE,10A
Public School,University Elementary,3035 Utah DR NW,UNI
Public School,FFCA - Southwood Campus,898 Sylvester Crescent SW,SOW
Public School,FFCA - St. Clement,1140 Mayland DR NE,MAL
Public School,FFCA - St. Lawrence Campus,719 44 AV NW,HIW
